time_step,inlet_velocity,B_magnitude,output_source,velocity_magnitude,pressure,pred_velocity,pred_pressure,drift_metric
1.0,1.0,20.04,simulation,0.9996599572786508,209.36102649587605,0.9996599572786508,209.36102649587605,0.0
2.0,1.0,20.06,simulation,0.999659874436475,209.61569708072983,0.999659874436475,209.61569708072983,0.0
3.0,1.0,20.02,simulation,0.9996605777701812,209.2310411772057,0.9996605777701812,209.2310411772057,0.0
4.0,1.0,19.97,simulation,0.9996613081676984,208.674580139965,0.9996613081676984,208.674580139965,0.0
5.0,1.0,20.03,simulation,0.999661420418676,209.29309018745317,0.999661420418676,209.29309018745317,0.0
6.0,1.0,20.0,simulation,0.9996604703567792,208.9817661484629,0.9996604703567792,208.9817661484629,0.0
7.0,1.0,20.02,simulation,0.9996600915972416,209.15599977255687,0.9996600915972416,209.15599977255687,0.0
8.0,1.0,19.96,simulation,0.9996610435308224,208.56564357410647,0.9996610435308224,208.56564357410647,0.0
9.0,1.0,20.04,simulation,0.9996595793454376,209.41806657835545,0.9996595793454376,209.41806657835545,0.0
10.0,1.0,19.94,simulation,0.9996617909026264,208.38349573356663,0.9996617909026264,208.38349573356663,0.0
11.0,1.0,20.09,simulation,0.9996594964305556,209.84307108222944,0.9996594964305556,209.84307108222944,0.0
12.0,1.0,19.9,simulation,0.9996620499061748,208.04840416395905,0.9996620499061748,208.04840416395905,0.0
13.0,1.0,20.08,simulation,0.999659583877324,209.7300662234441,0.999659583877324,209.7300662234441,0.0
14.0,1.0,20.05,simulation,0.9996601805541272,209.46521921019743,0.9996601805541272,209.46521921019743,0.0
15.0,1.0,19.92,simulation,0.9996628706721667,208.22513908022992,0.9996628706721667,208.22513908022992,0.0
16.0,1.0,20.05,simulation,0.9996604529325832,209.47246857035745,0.9996604529325832,209.47246857035745,0.0
17.0,1.0,19.9,simulation,0.999662733906898,208.05525563609095,0.999662733906898,208.05525563609095,0.0
18.0,1.0,19.96,simulation,0.9996614600335778,208.56790960509872,0.9996614600335778,208.56790960509872,0.0
19.0,1.0,19.94,simulation,0.9996622253992068,208.40998909022744,0.9996622253992068,208.40998909022744,0.0
20.0,1.0,19.94,simulation,0.9996622200351796,208.40273446138465,0.9996622200351796,208.40273446138465,0.0
21.0,1.0,20.01,simulation,0.9996606146422544,209.0994309947513,0.9996606146422544,209.0994309947513,0.0
22.0,1.0,19.93,simulation,0.9996611973101682,208.30105335416147,0.9996611973101682,208.30105335416147,0.0
23.0,1.0,19.91,simulation,0.999662870945746,208.1413681504624,0.999662870945746,208.1413681504624,0.0
24.0,1.0,20.09,simulation,0.99965961555639,209.8480758635341,0.99965961555639,209.8480758635341,0.0
25.0,1.0,19.93,simulation,0.999661258592148,208.2998206748313,0.999661258592148,208.2998206748313,0.0
26.0,1.0,20.04,simulation,0.9996602928063578,209.36106222444388,0.9996602928063578,209.36106222444388,0.0
27.0,1.0,19.99,simulation,0.9996621498025214,208.9095847988003,0.9996621498025214,208.9095847988003,0.0
28.0,1.0,19.93,simulation,0.9996618187076576,208.26459552611848,0.9996618187076576,208.26459552611848,0.0
29.0,1.0,20.03,simulation,0.9996606224161232,209.28006635591103,0.9996606224161232,209.28006635591103,0.0
30.0,1.0,19.94,simulation,0.9996616187106449,208.3634900874781,0.9996616187106449,208.3634900874781,0.0
31.0,1.0,19.99,simulation,0.9996608526073962,208.8471701924519,0.9996608526073962,208.8471701924519,0.0
32.0,1.0,20.02,simulation,0.9996606842811036,209.22971770307424,0.9996606842811036,209.22971770307424,0.0
33.0,1.0,20.07,simulation,0.9996586207503574,209.67768033991504,0.9996586207503574,209.67768033991504,0.0
34.0,1.0,20.04,simulation,0.9996597097621291,209.39299263934015,0.9996597097621291,209.39299263934015,0.0
35.0,1.0,20.0,simulation,0.9996610952545278,208.97243226693325,0.9996610952545278,208.97243226693325,0.0
36.0,1.0,20.01,simulation,0.999660298892847,209.0452679755061,0.999660298892847,209.0452679755061,0.0
37.0,1.0,20.04,simulation,0.9996603530890524,209.4039900499875,0.9996603530890524,209.4039900499875,0.0
38.0,1.0,19.93,simulation,0.9996624834901532,208.28580018745316,0.9996624834901532,208.28580018745316,0.0
39.0,1.0,20.05,simulation,0.9996602523616936,209.43629785053736,0.9996602523616936,209.43629785053736,0.0
40.0,1.0,20.04,simulation,0.999660922940573,209.33343686328416,0.999660922940573,209.33343686328416,0.0
41.0,1.0,20.04,simulation,0.9996602656753636,209.3943585953512,0.9996602656753636,209.3943585953512,0.0
42.0,1.0,19.93,simulation,0.999662906021638,208.2909792426893,0.999662906021638,208.2909792426893,0.0
43.0,1.0,20.0,simulation,0.9996608145022212,208.98580430142465,0.9996608145022212,208.98580430142465,0.0
44.0,1.0,20.03,simulation,0.9996598403068038,209.24155369657583,0.9996598403068038,209.24155369657583,0.0
45.0,1.0,20.03,simulation,0.9996599736562978,209.29739460384903,0.9996599736562978,209.29739460384903,0.0
46.0,1.0,20.08,simulation,0.9996605204223776,209.75803646588355,0.9996605204223776,209.75803646588355,0.0
47.0,1.0,19.96,simulation,0.9996618246685056,208.6317523969008,0.9996618246685056,208.6317523969008,0.0
48.0,1.0,19.95,simulation,0.9996621996546852,208.455195796051,0.9996621996546852,208.455195796051,0.0
49.0,1.0,20.01,simulation,0.999660801647376,209.08100758810295,0.999660801647376,209.08100758810295,0.0
50.0,1.0,20.05,simulation,0.9996605924736326,209.4386526668333,0.9996605924736326,209.4386526668333,0.0
51,1.0,19.955229393186496,surrogate,,,0.9996614111264441,208.58607207037872,0.761391540600532
