time_step,lid_velocity_input,viscosity_input
1,1.5222438808829644,0.0010452182525100438
2,1.5296879975341717,0.0010548794113218287
3,1.5456436380750944,0.001038863322960634
4,1.5441285818982033,0.0010355429521307117
5,1.5663876314078267,0.0010322318414396322
6,1.572323939966942,0.0010286865781428908
7,1.567277042689994,0.0010224548088849717
8,1.5851306338036146,0.0010341774982688596
9,1.5856420287283919,0.0010301034076816565
10,1.5891683690717409,0.0010236971412598452
11,1.6078762206281194,0.0010010987652585496
12,1.6066311775240723,0.0010032828376192505
13,1.6030875286117332,0.0009987756335259922
14,1.5924674192725068,0.000998939978176472
15,1.5861150900830157,0.0009942611139488904
16,1.583851463574137,0.000979366660882008
17,1.5918376211390266,0.0009773501907288436
18,1.5865349744544666,0.0009744152129667326
19,1.560145653253981,0.0009679099240804746
20,1.565705446224274,0.0009666223725808773
21,1.5578513366088045,0.0009631776956750246
22,1.5421817403406433,0.0009593883511918873
23,1.5305879147997234,0.000955976047641117
24,1.5210886075729375,0.0009522857610226942
25,1.4982621856777385,0.0009491259779668806
26,1.4858578605258848,0.0009504059153717383
27,1.4833282877959315,0.0009506668165140142
28,1.4559088926801178,0.0009525152308304989
29,1.4431615444145123,0.0009470639791096838
30,1.4504983263661515,0.0009661226390361844
31,1.4257278261031572,0.0009585259266751642
32,1.4192169884207158,0.000960172648224244
33,1.4233015758954177,0.0009761669421240554
34,1.4004884354811045,0.0009786291170373422
35,1.4070740246053435,0.000986404246120112
36,1.4028361472311273,0.0009941849000009934
37,1.3982783930055558,0.0009980925551552704
38,1.3927932471988815,0.000996578970054505
39,1.410329327441142,0.001005872134113149
40,1.3964576305018275,0.0010212876712422261
41,1.410060796948716,0.001018686933363569
42,1.4187121553655926,0.001032832511150954
43,1.4187061605028974,0.0010336104356382283
44,1.4395201588304343,0.0010393974316891049
45,1.438488235460036,0.0010388866992189437
46,1.4421612031355424,0.0010494256661065088
47,1.4554198207683866,0.0010553416430994433
48,1.4758891170276704,0.0010459989877816826
49,1.4932324577816982,0.0010525951249010027
50,1.5051921653896847,0.0010478253891424323
51,1.5107535080964036,0.0010422959178616612
52,1.5213510964467396,0.0010388001099989883
53,1.5435681669707526,0.0010389513055446959
54,1.5391563679934104,0.0010384966160827454
55,1.5679264393946488,0.0010412125721663969
56,1.5588656454122594,0.0010330224147143794
57,1.5737161104517041,0.0010262830375791377
58,1.5853322382385655,0.0010223113879199654
59,1.5938710938094736,0.001023735748598117
60,1.5994443998932657,0.001006090318715463
61,1.5929783827820896,0.0010000863432529405
62,1.6024521722548886,0.0010010662193260913
63,1.6030756680184877,0.000990389195719131
64,1.5996056538259111,0.0009987572423348536
65,1.5884317891482804,0.00098791744597214
66,1.5923773503013363,0.0009718413500472155
67,1.5786557036980682,0.0009635443792180082
68,1.5822812909501305,0.0009619820877352441
69,1.5597445834468648,0.0009704700178294229
70,1.5587031800016702,0.000957184203071825
71,1.5564312624782954,0.0009559901940614079
72,1.5406603411249917,0.0009455173373385906
73,1.5180589091294336,0.0009558508134308051
74,1.5153300962859166,0.0009521138179298865
